 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25
31,24.447,23.720,26.478,29.973,29.285,23.705,25.329,25.830,27.859,20.981,29.265,18.988,23.965,19.392,40.449,25.132,24.936,22.843,26.068,21.946,27.628,28.288,23.412,23.654,25.527
32,24.390,23.680,26.425,29.958,29.173,23.584,25.265,25.759,27.830,21.043,29.219,18.924,23.927,19.331,40.371,25.103,24.873,22.732,25.985,21.889,27.595,28.244,23.392,23.589,25.480
33,24.328,23.553,26.305,29.862,29.097,23.512,25.171,25.650,27.742,21.067,29.109,18.855,23.898,19.243,40.185,24.969,24.749,22.557,25.898,21.817,27.465,28.110,23.331,23.526,25.410
34,24.282,23.571,26.291,29.796,29.102,23.517,25.173,25.651,27.725,21.121,29.092,18.856,23.862,19.295,40.148,24.959,24.710,22.534,25.853,21.786,27.463,28.128,23.268,23.516,25.387
35,24.348,23.597,26.336,29.851,29.126,23.493,25.181,25.694,27.752,21.285,29.141,18.834,23.877,19.287,40.099,24.965,24.759,22.592,25.914,21.832,27.510,28.124,23.241,23.542,25.409
36,24.324,23.570,26.365,29.886,29.174,23.564,25.146,25.693,27.709,21.606,29.106,18.827,23.881,19.264,40.035,24.942,24.782,22.669,25.879,21.793,27.490,28.092,23.235,23.506,25.377
37,24.283,23.512,26.348,29.830,29.052,23.515,25.086,25.622,27.668,21.730,29.079,18.789,23.819,19.232,39.952,24.901,24.765,22.654,25.884,21.782,27.452,28.056,23.185,23.494,25.313
38,24.240,23.488,26.279,29.793,29.006,23.477,25.072,25.610,27.654,21.794,29.072,18.757,23.831,19.169,39.896,24.853,24.802,22.536,25.841,21.770,27.427,28.007,23.148,23.469,25.311
39,24.197,23.459,26.260,29.781,29.011,23.428,25.078,25.532,27.609,21.757,29.031,18.752,23.759,19.179,39.845,24.793,24.750,22.465,25.840,21.750,27.389,27.969,23.114,23.446,25.295
40,24.242,23.482,26.255,29.766,28.984,23.399,25.049,25.565,27.663,21.700,29.004,18.761,23.812,19.143,39.840,24.789,24.752,22.414,25.882,21.732,27.406,27.997,23.133,23.475,25.287
41,24.219,23.443,26.262,29.726,29.020,23.408,25.039,25.522,27.706,21.490,29.007,18.747,23.787,19.174,39.807,24.794,24.729,22.450,25.875,21.725,27.396,27.936,23.070,23.455,25.277
42,24.214,23.440,26.270,29.728,28.990,23.401,25.065,25.545,27.772,21.326,29.037,18.718,23.773,19.167,39.810,24.779,24.701,22.452,25.877,21.729,27.395,27.975,23.085,23.450,25.281
43,24.172,23.442,26.251,29.726,28.971,23.364,25.016,25.497,27.826,21.176,28.997,18.697,23.729,19.115,39.767,24.750,24.684,22.384,25.805,21.695,27.362,27.961,23.118,23.378,25.225
44,24.160,23.419,26.173,29.699,28.912,23.344,24.961,25.505,27.784,20.985,28.982,18.702,23.742,19.049,39.740,24.688,24.634,22.353,25.802,21.649,27.331,27.901,23.032,23.379,25.191
45,24.292,23.547,26.136,29.633,28.914,23.324,24.965,25.437,27.777,20.847,28.917,18.650,23.660,19.071,39.761,24.681,24.610,22.340,25.745,21.638,27.295,27.906,23.010,23.340,25.172
46,24.283,23.524,26.166,29.687,28.938,23.349,24.965,25.515,27.796,20.763,28.946,18.694,23.669,19.088,39.755,24.727,24.626,22.375,25.801,21.654,27.305,27.868,23.010,23.374,25.181
47,24.313,23.565,26.244,29.709,28.989,23.376,25.004,25.535,27.838,20.797,28.989,18.686,23.744,19.130,39.847,24.766,24.642,22.426,25.801,21.680,27.352,27.998,23.061,23.377,25.221
48,24.281,23.540,26.260,29.790,29.029,23.408,25.051,25.584,27.862,20.863,29.038,18.710,23.764,19.121,39.910,24.779,24.700,22.452,25.895,21.723,27.407,27.995,23.111,23.421,25.291
49,24.253,23.512,26.273,29.809,29.020,23.419,25.061,25.573,27.878,20.825,29.039,18.740,23.782,19.195,39.964,24.840,24.708,22.470,25.940,21.765,27.422,27.985,23.127,23.453,25.266
50,24.263,23.488,26.286,29.790,29.016,23.371,25.073,25.568,27.887,20.933,29.037,18.709,23.751,19.151,39.949,24.779,24.689,22.457,25.899,21.730,27.394,28.039,23.111,23.436,25.291
51,24.237,23.561,26.321,29.787,29.055,23.417,25.092,25.589,27.905,21.097,29.030,18.781,23.787,19.172,39.998,24.828,24.688,22.451,25.884,21.772,27.407,28.048,23.180,23.479,25.309
52,24.260,23.545,26.324,29.797,29.035,23.460,25.082,25.602,27.888,20.905,29.023,18.724,23.796,19.196,40.000,24.801,24.723,22.468,25.923,21.783,27.421,28.052,23.123,23.479,25.310
53,24.280,23.591,26.395,29.815,29.018,23.497,25.095,25.633,27.924,20.758,29.091,18.817,23.835,19.217,40.095,24.864,24.752,22.511,26.028,21.809,27.476,28.031,23.168,23.504,25.340
54,24.276,23.619,26.392,29.873,29.088,23.520,25.158,25.685,27.989,20.664,29.087,18.838,23.886,19.238,40.141,24.885,24.890,22.752,26.027,21.833,27.455,28.092,23.200,23.534,25.410
