 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
2613,19.971,13.808,16.703,13.439,14.005,21.223,24.134,25.225,24.691,22.325,33.249,33.306,29.625,24.362,25.180,24.947,23.816,21.755,32.913,23.234,25.006,21.411
2614,19.952,13.833,16.674,13.422,13.973,21.205,24.140,25.216,24.666,22.358,33.208,33.300,29.623,24.346,25.161,24.988,23.837,21.734,32.946,23.233,24.984,21.409
2615,19.967,13.835,16.729,13.470,14.026,21.222,24.160,25.233,24.675,22.348,33.153,33.291,29.617,24.369,25.188,24.983,23.821,21.742,32.895,23.215,25.018,21.410
2616,19.980,13.875,16.700,13.421,14.009,21.232,24.149,25.280,24.659,22.379,33.184,33.311,29.636,24.400,25.188,24.974,23.813,21.776,32.913,23.267,25.002,21.415
2617,19.979,13.863,16.687,13.475,14.032,21.225,24.182,25.242,24.690,22.364,33.197,33.308,29.626,24.389,25.168,24.964,23.830,21.787,32.926,23.260,25.024,21.427
2618,19.993,13.837,16.708,13.429,14.028,21.194,24.149,25.252,24.694,22.377,33.205,33.317,29.620,24.389,25.189,25.020,23.798,21.740,32.919,23.281,25.025,21.415
2619,19.952,13.801,16.675,13.429,13.995,21.183,24.144,25.202,24.648,22.288,33.143,33.277,29.593,24.349,25.132,24.982,23.756,21.719,32.839,23.206,24.989,21.386
2620,19.965,13.814,16.710,13.485,14.021,21.196,24.131,25.194,24.655,22.328,33.160,33.304,29.571,24.327,25.132,24.987,23.804,21.730,32.894,23.208,24.984,21.397
2621,19.946,13.830,16.671,13.554,14.082,21.200,24.121,25.192,24.655,22.316,33.145,33.278,29.568,24.362,25.182,24.950,23.796,21.736,32.878,23.241,24.968,21.392
2622,19.970,13.826,16.664,13.525,14.062,21.191,24.108,25.225,24.610,22.296,33.170,33.233,29.582,24.351,25.152,24.935,23.785,21.720,32.868,23.196,24.963,21.386
2623,19.961,13.797,16.686,13.491,14.072,21.204,24.113,25.239,24.616,22.316,33.146,33.267,29.580,24.347,25.121,24.961,23.795,21.717,32.872,23.212,24.972,21.395
2624,19.969,13.830,16.688,13.523,14.050,21.183,24.114,25.229,24.658,22.288,33.170,33.246,29.601,24.357,25.124,24.942,23.791,21.722,32.874,23.249,24.991,21.403
2625,19.954,13.775,16.693,13.519,14.054,21.202,24.124,25.218,24.630,22.308,33.197,33.296,29.582,24.341,25.165,24.899,23.804,21.730,32.882,23.226,24.980,21.395
2626,19.957,13.820,16.686,13.505,14.042,21.204,24.153,25.185,24.668,22.316,33.180,33.249,29.603,24.352,25.155,24.926,23.788,21.714,32.841,23.187,24.984,21.402
2627,19.993,13.841,16.683,13.494,14.045,21.215,24.153,25.282,24.663,22.349,33.214,33.307,29.637,24.376,25.169,24.957,23.832,21.748,32.919,23.247,25.012,21.421
2628,19.974,13.833,16.733,13.477,14.010,21.211,24.133,25.224,24.638,22.334,33.167,33.322,29.629,24.354,25.161,24.933,23.846,21.745,32.899,23.227,24.977,21.411
2629,19.949,13.844,16.710,13.439,13.986,21.172,24.117,25.234,24.616,22.307,33.146,33.248,29.568,24.348,25.104,24.934,23.765,21.715,32.850,23.223,24.953,21.380
2630,19.943,13.813,16.714,13.420,13.984,21.214,24.112,25.192,24.645,22.309,33.138,33.220,29.560,24.303,25.077,24.873,23.748,21.729,32.868,23.164,24.936,21.365
2631,19.939,13.802,16.674,13.421,14.001,21.283,24.114,25.190,24.650,22.303,33.162,33.248,29.584,24.348,25.134,24.926,23.757,21.713,32.855,23.184,24.953,21.384
2632,19.955,13.816,16.671,13.412,14.015,21.305,24.124,25.202,24.655,22.311,33.150,33.258,29.609,24.348,25.121,24.958,23.830,21.740,32.868,23.214,24.987,21.398
