Time(s),AnalogIn-1,AnalogIn-2,AnalogIn-3,AnalogIn-4,Sequence,TTL-1,TTL-2,TTL-3,TTL-4,AnalogOut-1,AnalogOut-2,AnalogOut-3,AnalogOut-4
0.185353,1.44566,7.16636,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.188041,1.44566,7.14393,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.19073,1.44566,7.14225,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.19341,1.44566,7.13233,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.196098,1.44566,7.1482,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.198786,1.44566,7.17429,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.201475,1.44566,7.17948,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.204155,1.44566,7.15705,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.206843,1.44566,7.14469,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.209531,1.44566,7.13034,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.21222,1.44566,7.14774,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.2149,1.44566,7.15445,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.217588,1.44581,7.17185,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.220276,1.44566,7.16407,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.222965,1.44566,7.15003,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.225645,1.44566,7.13477,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.228333,1.44566,7.13889,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.231021,1.44566,7.15537,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.23371,1.44566,7.1749,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.23639,1.44566,7.15567,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.239078,1.44566,7.14606,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.241766,1.44566,7.12989,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.244455,1.44566,7.13782,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.247135,1.44566,7.1572,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.249823,1.44566,7.16849,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.252511,1.44566,7.17551,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.2552,1.44566,7.14972,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.25788,1.44566,7.1456,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.260568,1.44566,7.13858,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.263256,1.44566,7.14438,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.265945,1.44566,7.16559,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.268625,1.44566,7.18039,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.271313,1.44566,7.14301,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.274001,1.44566,7.14499,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.27669,1.44566,7.13095,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.27937,1.44566,7.14255,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.282058,1.44566,7.15934,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.284746,1.44566,7.17505,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.287435,1.44566,7.15201,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.290115,1.44566,7.1305,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.292803,1.44566,7.13233,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.295491,1.44566,7.13981,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.29818,1.44566,7.15979,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.30086,1.44566,7.16941,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.303548,1.44566,7.16315,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.306236,1.44566,7.14331,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.308925,1.44566,7.11951,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.311605,1.44566,7.13462,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.314293,1.44566,7.16361,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.316981,1.44566,7.16849,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.31967,1.44566,7.16376,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.32235,1.44566,7.13416,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.325038,1.44566,7.13202,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.327726,1.44566,7.1334,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.330415,1.44566,7.15934,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.333095,1.44566,7.16239,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.335783,1.44566,7.17032,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.338471,1.44566,7.14789,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.34116,1.44566,7.1337,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.34384,1.44566,7.14225,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.346528,1.44566,7.15415,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.349216,1.44566,7.16056,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.351905,1.44566,7.17154,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.354585,1.44566,7.15262,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.357273,1.44566,7.13858,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.359961,1.44566,7.12867,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.36265,1.44566,7.14347,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.36533,1.44566,7.16865,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.368018,1.44566,7.18741,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.370706,1.44566,7.15659,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.373395,1.44566,7.14026,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.376075,1.44566,7.13538,2.49931,2.49886,1,0,0,0,0,0,0,0,0,
0.378763,1.44566,7.14331,2.49931,2.49886,1,0,0,0,0,0,0,0,0,
0.381451,1.44566,7.15934,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.38414,1.44566,7.1749,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.38682,1.44566,7.15506,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.389508,1.44566,7.13706,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.392196,1.44566,7.13691,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.394885,1.44566,7.14057,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.397565,1.44566,7.15278,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.400253,1.44566,7.17292,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
