# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
3.10069,1.10166,1.16788,1.54638,1.68009,1.92918,1.07467,0.98097,1.06792,1.00875
3.11261,1.10112,1.16373,1.54255,1.68375,1.92321,1.07941,0.97709,1.06365,1.01161
3.12453,1.10094,1.16028,1.53951,1.68878,1.91593,1.08482,0.97342,1.05864,1.01590
3.13646,1.10133,1.15641,1.53651,1.69201,1.91258,1.09058,0.97163,1.05318,1.02078
3.14838,1.10236,1.15246,1.53327,1.69398,1.90733,1.09670,0.97076,1.04796,1.02670
3.16031,1.10225,1.14823,1.53187,1.69530,1.90699,1.10213,0.97125,1.04246,1.03348
3.17223,1.10124,1.14454,1.53352,1.69687,1.90872,1.10657,0.97242,1.03804,1.04019
3.18415,1.10116,1.14207,1.53460,1.69635,1.91415,1.11084,0.97526,1.03382,1.04759
3.19608,1.10035,1.13928,1.53803,1.69706,1.92305,1.11301,0.97897,1.03131,1.05386
3.20800,1.10047,1.13634,1.54436,1.69545,1.93509,1.11404,0.98274,1.02971,1.05991
3.21993,1.09963,1.13465,1.55105,1.69344,1.94870,1.11410,0.98758,1.02892,1.06492
3.23185,1.10053,1.13252,1.55573,1.69329,1.96651,1.11359,0.99158,1.02956,1.06850
3.24377,1.10200,1.13141,1.56311,1.69099,1.98392,1.11195,0.99651,1.03070,1.07103
3.25570,1.10426,1.12974,1.56438,1.68845,2.00434,1.11052,1.00081,1.03267,1.07148
3.26762,1.10833,1.12828,1.56756,1.68865,2.02139,1.10889,1.00526,1.03510,1.07088
3.27955,1.11309,1.12710,1.56735,1.68685,2.03928,1.10696,1.00812,1.03844,1.06943
3.29147,1.11786,1.12610,1.56360,1.68542,2.05441,1.10630,1.01068,1.04153,1.06623
3.30339,1.12094,1.12592,1.56129,1.68675,2.06367,1.10420,1.01238,1.04608,1.06330
3.31532,1.12507,1.12547,1.55526,1.68607,2.06966,1.10275,1.01243,1.05046,1.05927
3.32724,1.12689,1.12325,1.55045,1.68626,2.07408,1.10032,1.01180,1.05549,1.05683
3.33916,1.12921,1.12228,1.54488,1.68642,2.07276,1.09846,1.01071,1.06083,1.05387
3.35109,1.12938,1.12050,1.53958,1.69024,2.06721,1.09734,1.00795,1.06665,1.05283
3.36301,1.13068,1.12152,1.53670,1.69290,2.05880,1.09373,1.00541,1.07183,1.05220
3.37494,1.13026,1.12037,1.53521,1.69476,2.04732,1.09179,1.00170,1.07728,1.05267
3.38686,1.13049,1.12152,1.53466,1.69997,2.03470,1.09056,0.99821,1.08190,1.05395
3.39878,1.12991,1.12142,1.53522,1.70550,2.02155,1.08989,0.99455,1.08597,1.05548
3.41071,1.12975,1.12274,1.53715,1.71457,2.00736,1.09065,0.99110,1.08930,1.05733
3.42263,1.12997,1.12534,1.54097,1.72321,1.99507,1.09395,0.98827,1.09237,1.05901
3.43456,1.12918,1.12673,1.54533,1.73261,1.98343,1.09831,0.98575,1.09476,1.05994
3.44648,1.12925,1.12779,1.54901,1.74399,1.97410,1.10413,0.98373,1.09719,1.06131
3.45840,1.12911,1.12914,1.55445,1.75345,1.96462,1.11117,0.98309,1.09903,1.06212
3.47033,1.12846,1.12943,1.56080,1.76075,1.95639,1.11886,0.98283,1.10149,1.06277
3.48225,1.12898,1.12883,1.56691,1.76826,1.95271,1.12704,0.98402,1.10385,1.06369
3.49418,1.12883,1.12747,1.57381,1.77318,1.94980,1.13334,0.98531,1.10658,1.06359
3.50610,1.13084,1.12395,1.57881,1.77791,1.94828,1.13891,0.98691,1.10951,1.06487
3.51802,1.13244,1.12158,1.58413,1.78074,1.94840,1.14227,0.99015,1.11203,1.06537
3.52995,1.13455,1.11895,1.59068,1.78361,1.95068,1.14342,0.99369,1.11463,1.06650
3.54187,1.13966,1.11565,1.59555,1.78462,1.95328,1.14271,0.99746,1.11578,1.06772
3.55379,1.14153,1.11463,1.60020,1.78833,1.95478,1.14000,1.00172,1.11652,1.06978
3.56572,1.14547,1.11406,1.60321,1.79167,1.95608,1.13515,1.00621,1.11675,1.07227
3.57764,1.14697,1.11626,1.60848,1.79547,1.95689,1.13080,1.01025,1.11575,1.07423
3.58957,1.14858,1.12042,1.61088,1.79961,1.95733,1.12418,1.01377,1.11519,1.07645
3.60149,1.14746,1.12772,1.61471,1.80328,1.95597,1.11849,1.01754,1.11381,1.07876
3.61341,1.14732,1.13799,1.61601,1.80651,1.95354,1.11349,1.01961,1.11251,1.08019
3.62534,1.14397,1.15000,1.61737,1.80948,1.94955,1.10992,1.02081,1.11108,1.08070
3.63726,1.13959,1.16418,1.61807,1.81021,1.94621,1.10945,1.02191,1.11063,1.08018
3.64919,1.13490,1.17969,1.61887,1.80853,1.94461,1.10898,1.02195,1.11044,1.07894
3.66111,1.12893,1.19519,1.61716,1.80640,1.94300,1.11046,1.02185,1.11064,1.07666
3.67303,1.12225,1.20974,1.61438,1.80451,1.94147,1.11204,1.02136,1.11142,1.07359
3.68496,1.11583,1.22289,1.61151,1.80257,1.94418,1.11585,1.02131,1.11176,1.07118
3.69688,1.11082,1.23376,1.60614,1.80161,1.94696,1.11891,1.02100,1.11209,1.06798
3.70881,1.10531,1.24308,1.60215,1.80236,1.95051,1.12239,1.02150,1.11193,1.06617
3.72073,1.10293,1.24803,1.59343,1.80513,1.95627,1.12681,1.02194,1.11127,1.06480
3.73265,1.10211,1.25064,1.58520,1.81022,1.96435,1.12960,1.02257,1.10976,1.06403
3.74458,1.10081,1.24993,1.57458,1.81443,1.96963,1.13251,1.02334,1.10723,1.06462
3.75650,1.09973,1.24665,1.56314,1.82191,1.97906,1.13479,1.02409,1.10478,1.06551
3.76843,1.10008,1.24051,1.54996,1.82860,1.98499,1.13707,1.02307,1.10262,1.06683
3.78035,1.09962,1.23268,1.53735,1.83521,1.99061,1.13868,1.02216,1.09959,1.06851
3.79227,1.09798,1.22440,1.52509,1.84095,1.99758,1.13903,1.02085,1.09762,1.07012
3.80420,1.09623,1.21302,1.51276,1.84595,2.00195,1.13922,1.01752,1.09622,1.07142
3.81612,1.09387,1.20326,1.50226,1.84845,2.00550,1.13881,1.01516,1.09579,1.07279
3.82804,1.09242,1.19334,1.49302,1.85011,2.00379,1.13777,1.01196,1.09579,1.07341
3.83997,1.08895,1.18299,1.48714,1.85106,2.00160,1.13734,1.00907,1.09588,1.07440
3.85189,1.08822,1.17471,1.48313,1.85139,2.00014,1.13657,1.00631,1.09628,1.07568
3.86382,1.08873,1.16644,1.48200,1.85378,1.99426,1.13544,1.00502,1.09669,1.07711
3.87574,1.08960,1.16077,1.48261,1.85501,1.98810,1.13405,1.00387,1.09629,1.07758
3.88766,1.09257,1.15473,1.48481,1.86002,1.98249,1.13337,1.00350,1.09552,1.07828
3.89959,1.09740,1.15004,1.48781,1.86309,1.97727,1.13312,1.00391,1.09380,1.07947
3.91151,1.10186,1.14501,1.49250,1.86858,1.97244,1.13235,1.00445,1.09141,1.08033
3.92344,1.10770,1.14182,1.49728,1.87268,1.96952,1.13269,1.00480,1.08855,1.08076
3.93536,1.11126,1.13829,1.50131,1.87491,1.96566,1.13198,1.00470,1.08646,1.08075
3.94728,1.11691,1.13610,1.50743,1.87756,1.96665,1.13105,1.00472,1.08361,1.08015
3.95921,1.11977,1.13323,1.51198,1.87934,1.96766,1.12982,1.00470,1.08208,1.07998
3.97113,1.11963,1.13058,1.51915,1.87800,1.97043,1.12809,1.00411,1.08102,1.07865
3.98306,1.11859,1.12998,1.52464,1.87812,1.97498,1.12561,1.00327,1.08127,1.07868
3.99498,1.11604,1.12923,1.53219,1.87757,1.98276,1.12124,1.00217,1.08276,1.07760
4.00690,1.11210,1.13035,1.53881,1.87320,1.98925,1.11614,1.00156,1.08585,1.07742
4.01883,1.10606,1.13296,1.54458,1.87316,2.00018,1.11049,1.00108,1.08879,1.07688
4.03075,1.09864,1.13695,1.55148,1.87417,2.01008,1.10314,1.00071,1.09330,1.07656
4.04267,1.09345,1.14320,1.55728,1.87659,2.01888,1.09599,1.00088,1.09860,1.07647
4.05460,1.08668,1.15008,1.56185,1.88112,2.03347,1.08935,1.00101,1.10340,1.07611
4.06652,1.08135,1.15894,1.56452,1.88896,2.04268,1.08312,1.00118,1.10846,1.07461
4.07845,1.07940,1.16745,1.56589,1.89809,2.05043,1.07861,1.00161,1.11274,1.07314
4.09037,1.07653,1.17704,1.56836,1.90814,2.06091,1.07451,1.00161,1.11592,1.07179
4.10229,1.07554,1.18612,1.57080,1.92013,2.06231,1.07179,1.00157,1.11804,1.06954
4.11422,1.07600,1.19371,1.57257,1.92901,2.06066,1.07056,1.00118,1.11918,1.06822
4.12614,1.07744,1.20028,1.57175,1.94041,2.05514,1.06922,1.00168,1.11935,1.06703
4.13807,1.08018,1.20463,1.57261,1.94740,2.04599,1.06986,1.00190,1.11813,1.06710
4.14999,1.08317,1.20740,1.57592,1.95157,2.03092,1.06843,1.00248,1.11694,1.06727
4.16191,1.08750,1.20850,1.57710,1.95107,2.01469,1.06854,1.00366,1.11436,1.06878
4.17384,1.09271,1.20574,1.57747,1.95095,1.99572,1.06626,1.00512,1.11177,1.07086
4.18576,1.09627,1.20252,1.57781,1.94380,1.97726,1.06490,1.00754,1.10882,1.07361
4.19769,1.10095,1.19780,1.57720,1.93773,1.95804,1.06331,1.01073,1.10675,1.07764
4.20961,1.10401,1.19130,1.57571,1.92904,1.94244,1.06224,1.01377,1.10426,1.08240
4.22153,1.10869,1.18545,1.57346,1.91577,1.93019,1.06220,1.01741,1.10177,1.08787
4.23346,1.11112,1.17842,1.56912,1.90324,1.92156,1.06276,1.02113,1.09933,1.09358
4.24538,1.11564,1.17267,1.56421,1.89105,1.92005,1.06423,1.02434,1.09643,1.09957
4.25731,1.11739,1.16575,1.55722,1.87876,1.92171,1.06721,1.02775,1.09327,1.10464
4.26923,1.12210,1.16154,1.55089,1.86759,1.93169,1.07162,1.03012,1.08966,1.11001
