# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
3.06492,438.44444,449.66667,451.20000,355.25000,391.12500,739.28571,1301.22222,1193.88889,1121.60000
3.07684,438.55556,449.66667,450.40000,355.12500,391.75000,739.28571,1299.77778,1193.00000,1120.70000
3.08876,438.44444,449.88889,449.90000,354.87500,392.50000,739.00000,1298.55556,1191.88889,1119.60000
3.10069,438.33333,450.00000,449.30000,354.87500,393.75000,738.57143,1296.88889,1190.55556,1118.10000
3.11261,438.11111,450.77778,448.70000,354.75000,394.37500,737.71429,1295.22222,1188.88889,1116.10000
3.12453,437.55556,451.22222,448.20000,354.37500,395.37500,737.00000,1293.33333,1187.00000,1113.70000
3.13646,437.11111,451.55556,447.60000,354.12500,396.00000,736.14286,1290.22222,1184.88889,1110.90000
3.14838,436.55556,452.22222,447.50000,354.37500,396.62500,735.85714,1286.77778,1182.77778,1108.10000
3.16031,435.88889,452.55556,447.10000,354.62500,396.87500,735.42857,1282.88889,1180.55556,1105.00000
3.17223,435.44444,452.66667,446.90000,354.75000,397.00000,735.57143,1278.33333,1178.22222,1102.10000
3.18415,435.00000,452.77778,447.10000,355.25000,396.62500,735.71429,1273.33333,1176.44444,1099.40000
3.19608,434.77778,452.88889,447.10000,355.75000,396.00000,736.28571,1268.44444,1174.33333,1097.40000
3.20800,434.33333,452.88889,447.00000,356.37500,394.87500,736.57143,1263.88889,1172.66667,1095.90000
3.21993,434.44444,452.66667,447.00000,357.12500,393.75000,737.00000,1259.33333,1171.33333,1094.80000
3.23185,434.55556,452.55556,447.30000,357.62500,392.25000,737.00000,1255.66667,1169.88889,1094.60000
3.24377,434.77778,452.33333,446.80000,358.25000,390.62500,736.85714,1252.33333,1168.55556,1094.50000
3.25570,434.77778,452.00000,446.90000,358.75000,388.62500,736.00000,1249.55556,1167.00000,1095.10000
3.26762,434.88889,451.77778,446.40000,359.00000,386.87500,734.71429,1247.22222,1165.55556,1095.80000
3.27955,434.55556,451.44444,446.20000,359.37500,384.87500,733.00000,1245.33333,1163.66667,1096.40000
3.29147,434.66667,450.88889,445.90000,359.62500,383.12500,730.85714,1243.77778,1161.77778,1096.80000
3.30339,434.77778,450.22222,445.50000,359.37500,381.62500,728.42857,1242.33333,1159.33333,1096.80000
3.31532,434.44444,449.33333,445.20000,359.12500,380.50000,726.00000,1241.44444,1157.00000,1096.30000
3.32724,434.55556,448.55556,445.00000,358.75000,379.37500,723.71429,1240.88889,1154.22222,1095.40000
3.33916,434.33333,447.66667,445.10000,358.12500,378.75000,721.14286,1240.44444,1151.44444,1093.80000
3.35109,434.11111,446.66667,445.20000,357.12500,378.50000,718.28571,1240.77778,1148.55556,1091.80000
3.36301,433.77778,445.33333,445.20000,356.12500,378.50000,716.28571,1240.88889,1145.88889,1089.50000
3.37494,433.44444,444.66667,445.10000,355.25000,378.75000,714.14286,1241.77778,1143.66667,1086.80000
3.38686,432.88889,443.55556,445.20000,354.25000,379.37500,712.28571,1242.55556,1141.66667,1084.10000
