# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
3.06492,490.66667,522.66667,716.40000,610.37500,772.62500,783.71429,1247.33333,1270.44444,1138.20000
3.07684,489.22222,523.22222,714.20000,610.37500,774.12500,784.14286,1245.88889,1267.33333,1136.80000
3.08876,488.00000,523.77778,711.60000,611.25000,775.75000,785.28571,1245.22222,1263.11111,1136.00000
3.10069,486.66667,523.55556,708.60000,611.75000,777.00000,787.14286,1244.55556,1258.00000,1135.30000
3.11261,485.22222,522.88889,705.80000,612.75000,777.62500,789.57143,1244.55556,1252.00000,1134.90000
3.12453,483.88889,521.88889,703.20000,613.75000,778.12500,792.42857,1244.44444,1245.33333,1134.80000
3.13646,482.66667,521.00000,700.80000,614.37500,778.75000,795.57143,1244.66667,1238.33333,1134.80000
3.14838,481.44444,520.11111,699.40000,615.37500,778.75000,798.85714,1244.66667,1231.55556,1135.80000
3.16031,480.22222,518.88889,698.30000,616.25000,779.25000,802.00000,1244.66667,1224.77778,1137.10000
3.17223,479.00000,517.88889,698.40000,616.87500,780.00000,804.71429,1244.22222,1219.11111,1138.80000
3.18415,478.11111,517.00000,699.00000,617.50000,781.00000,807.42857,1243.77778,1214.33333,1141.70000
3.19608,477.55556,516.11111,700.30000,618.12500,782.75000,809.42857,1243.66667,1210.44444,1144.90000
3.20800,477.22222,514.88889,702.00000,618.37500,785.00000,810.71429,1243.55556,1208.11111,1148.60000
3.21993,477.33333,514.00000,704.00000,618.62500,788.12500,811.57143,1244.11111,1206.88889,1152.30000
3.23185,478.00000,512.77778,705.60000,618.62500,791.75000,811.71429,1245.00000,1207.11111,1156.10000
3.24377,479.55556,511.88889,706.60000,618.50000,795.37500,811.28571,1246.77778,1207.88889,1159.40000
3.25570,480.88889,510.55556,706.60000,618.12500,799.37500,810.28571,1248.55556,1209.22222,1161.70000
3.26762,482.88889,509.44444,706.10000,617.87500,803.25000,808.57143,1250.88889,1211.33333,1163.20000
3.27955,484.88889,508.55556,704.80000,617.50000,806.37500,806.00000,1252.66667,1213.44444,1163.80000
3.29147,487.00000,507.22222,702.60000,617.12500,809.00000,803.28571,1254.33333,1215.66667,1162.60000
3.30339,488.77778,505.88889,700.30000,616.87500,810.50000,799.71429,1255.44444,1218.55556,1160.70000
3.31532,490.11111,504.55556,697.60000,616.25000,811.12500,796.00000,1255.22222,1221.33333,1157.60000
3.32724,491.33333,502.66667,695.30000,616.12500,811.25000,791.71429,1254.33333,1224.33333,1154.70000
3.33916,492.22222,500.88889,693.60000,616.00000,810.00000,787.14286,1252.44444,1228.00000,1151.20000
3.35109,492.44444,498.77778,691.90000,616.25000,808.37500,782.85714,1249.66667,1231.88889,1148.30000
3.36301,492.55556,497.22222,691.20000,616.50000,806.00000,778.42857,1246.55556,1235.88889,1145.80000
3.37494,492.33333,495.66667,690.80000,616.87500,803.37500,774.71429,1242.88889,1240.11111,1143.50000
3.38686,491.88889,494.44444,690.90000,618.00000,800.62500,771.85714,1239.00000,1244.00000,1141.90000
3.39878,491.00000,493.77778,691.40000,619.25000,798.00000,770.00000,1235.22222,1247.88889,1140.60000
3.41071,490.00000,493.66667,692.00000,620.87500,795.12500,769.14286,1231.44444,1251.11111,1139.40000
3.42263,488.77778,494.22222,693.20000,622.62500,792.50000,769.85714,1228.00000,1254.00000,1138.60000
3.43456,487.22222,495.00000,694.60000,624.62500,789.87500,771.14286,1224.55556,1256.22222,1137.50000
3.44648,485.77778,496.00000,696.40000,626.75000,787.62500,773.57143,1221.33333,1258.55556,1136.70000
3.45840,484.33333,497.11111,698.40000,628.87500,785.62500,776.42857,1218.00000,1260.11111,1135.70000
3.47033,482.88889,498.00000,700.70000,630.50000,783.50000,779.71429,1215.00000,1261.44444,1134.90000
3.48225,481.77778,498.66667,703.40000,632.00000,781.62500,783.00000,1212.22222,1262.88889,1134.10000
3.49418,480.88889,499.00000,706.00000,632.75000,780.12500,785.71429,1209.22222,1264.44444,1133.20000
3.50610,480.33333,498.66667,708.40000,633.50000,778.62500,787.85714,1206.88889,1265.55556,1132.80000
3.51802,480.22222,498.11111,710.90000,634.00000,777.12500,789.00000,1204.88889,1266.66667,1132.30000
3.52995,479.88889,497.33333,713.30000,634.00000,775.87500,789.00000,1203.66667,1267.55556,1132.20000
3.54187,480.55556,496.55556,715.10000,634.12500,774.25000,788.00000,1202.77778,1267.66667,1132.40000
3.55379,480.55556,495.88889,716.80000,634.00000,772.75000,786.00000,1202.44444,1267.33333,1132.90000
3.56572,480.55556,495.88889,718.20000,634.12500,771.12500,783.42857,1202.55556,1266.55556,1134.10000
3.57764,480.33333,496.33333,719.70000,634.25000,769.50000,780.42857,1203.11111,1265.33333,1134.90000
3.58957,479.77778,497.88889,720.60000,634.12500,767.37500,777.42857,1203.66667,1263.77778,1136.40000
3.60149,479.00000,500.33333,722.10000,634.00000,765.25000,774.57143,1204.44444,1261.77778,1137.40000
3.61341,478.00000,503.77778,722.90000,633.62500,763.25000,772.71429,1204.44444,1259.77778,1138.40000
3.62534,476.33333,508.11111,723.90000,633.12500,761.50000,772.00000,1204.22222,1257.33333,1138.90000
3.63726,474.88889,513.00000,724.50000,631.87500,760.12500,772.71429,1203.88889,1255.33333,1138.40000
3.64919,472.77778,518.44444,725.00000,630.50000,759.37500,774.14286,1203.00000,1253.33333,1137.50000
3.66111,470.88889,523.77778,725.10000,628.87500,759.37500,776.71429,1202.11111,1251.55556,1135.30000
3.67303,468.77778,528.88889,724.80000,627.50000,759.62500,779.85714,1201.00000,1249.33333,1132.80000
3.68496,467.00000,533.33333,724.00000,626.00000,761.00000,783.42857,1200.33333,1247.22222,1130.30000
3.69688,465.66667,537.11111,722.50000,625.12500,762.37500,787.00000,1199.33333,1244.77778,1127.20000
3.70881,464.55556,540.11111,720.50000,624.37500,764.12500,790.85714,1198.66667,1242.11111,1124.50000
3.72073,464.11111,541.66667,717.50000,624.62500,766.00000,794.42857,1198.11111,1239.22222,1122.10000
3.73265,464.22222,542.55556,714.10000,625.12500,767.75000,797.42857,1197.22222,1236.00000,1120.20000
3.74458,464.44444,542.33333,709.60000,626.00000,768.87500,800.28571,1196.22222,1232.66667,1118.70000
3.75650,464.77778,541.11111,705.00000,627.62500,770.25000,802.71429,1194.33333,1229.33333,1117.60000
3.76843,465.44444,539.33333,699.80000,629.50000,770.87500,805.00000,1191.66667,1226.55556,1116.70000
3.78035,465.88889,537.00000,694.80000,631.37500,771.00000,806.71429,1188.00000,1223.66667,1116.10000
3.79227,465.77778,534.33333,689.90000,633.75000,770.62500,807.85714,1183.88889,1221.55556,1115.50000
3.80420,465.44444,531.22222,685.50000,636.25000,769.75000,808.71429,1179.00000,1219.77778,1114.90000
3.81612,465.11111,528.22222,681.90000,638.75000,768.50000,808.85714,1174.44444,1218.88889,1114.40000
