X,Y
621,247.611
622,243.649
623,238.618
624,229.931
625,230.328
626,252.237
627,245.298
628,228.672
629,235.282
630,243.290
631,251.939
632,247.069
633,233.275
634,240.374
635,250.634
636,249.603
637,219.237
638,251.832
639,239.176
640,228.794
641,242.023
642,251.305
643,248.160
644,230.527
645,242.466
646,235.076
647,233.137
648,239.443
649,234.740
650,235.145
651,235.901
652,243.023
653,211.336
654,234.504
655,223.336
656,213.702
657,226.176
658,232.740
659,234.885
660,238.733
661,230.092
662,225.435
663,231.313
664,234.107
665,235.420
666,250.443
667,237.992
668,217.000
669,233.947
670,237.336
671,227.977
672,229.687
673,226.023
674,236.198
675,230.771
676,254.748
677,243.229
678,236.969
679,218.267
680,213.420
681,230.260
682,221.099
683,225.130
684,220.168
685,234.015
686,223.939
687,239.557
688,228.733
689,226.771
690,234.672
691,239.542
692,219.695
693,235.275
694,217.260
695,233.763
696,210.206
697,214.244
698,250.916
699,220.840
700,223.221
701,216.641
702,220.611
703,224.298
704,218.847
705,221.473
706,215.969
707,230.901
708,209.992
709,239.733
710,219.160
711,215.779
712,227.641
713,227.725
714,231.840
715,236.511
716,214.817
717,224.298
718,200.374
719,231.458
720,227.908
721,216.611
722,216.603
723,215.496
724,227.168
725,205.313
726,217.664
727,212.229
728,225.481
729,202.038
730,221.214
731,224.481
732,215.649
733,205.267
734,206.695
735,224.145
736,219.802
737,200.710
738,215.824
739,232.198
740,210.290
741,205.458
742,207.618
743,217.656
744,205.908
745,208.084
746,208.069
747,219.466
748,210.275
749,214.878
750,220.756
751,188.069
752,197.740
753,209.366
754,197.519
755,212.702
756,220.893
757,198.405
758,200.458
759,220.206
760,221.237
761,211.901
762,214.702
763,205.092
764,186.382
765,207.061
766,193.893
767,203.191
768,219.779
769,211.832
770,214.672
771,191.656
772,206.489
773,199.183
774,204.649
775,217.489
776,206.107
777,221.344
778,224.099
779,207.130
780,212.237
781,205.832
782,215.809
783,199.756
784,216.611
785,220.924
786,206.908
787,208.664
788,210.260
789,204.603
790,205.183
791,205.611
792,197.229
793,216.580
794,218.511
795,203.260
796,194.519
797,204.924
798,192.992
799,193.985
800,204.206
801,206.183
802,198.336
803,202.466
804,234.435
805,197.389
806,199.916
807,195.618
808,193.443
809,202.595
810,205.015
811,209.710
812,202.779
813,198.550
814,215.038
815,191.031
816,195.603
817,217.130
818,196.595
819,202.794
820,209.580
821,195.695
822,198.053
823,208.763
824,192.389
825,192.069
826,203.962
827,197.008
828,206.305
829,215.840
830,206.672
831,193.198
832,201.504
833,193.237
834,220.511
835,196.527
836,198.870
837,210.427
838,219.260
839,208.725
840,190.191
841,209.252
842,190.977
843,197.420
844,186.748
845,204.389
846,197.679
847,210.611
848,199.985
849,194.092
850,216.496
851,191.191
852,193.092
853,189.359
854,194.748
855,206.504
856,184.000
857,192.008
858,206.649
859,181.901
860,197.435
861,199.748
862,197.924
863,189.985
864,200.084
865,183.985
866,195.130
867,193.412
868,179.595
869,187.023
870,199.588
871,194.450
872,195.763
873,189.550
874,180.221
875,190.611
876,179.901
877,211.740
878,199.153
879,214.092
880,207.275
881,185.023
882,181.771
883,196.008
884,204.107
885,191.008
886,203.672
887,177.160
888,214.527
889,209.328
890,199.527
891,187.718
892,201.427
893,197.939
894,193.458
895,187.603
896,194.038
897,189.084
898,187.305
899,192.718
900,185.053
901,184.405
902,197.573
903,189.092
904,183.237
905,196.542
906,191.275
907,202.603
908,193.130
909,195.893
910,194.450
911,189.389
912,199.237
913,188.122
914,190.389
915,185.695
916,183.794
917,174.992
918,186.893
919,173.466
920,198.672
921,203.763
922,193.992
923,184.389
924,173.145
925,206.962
926,186.954
927,184.557
928,208.107
929,185.000
930,186.710
931,184.351
932,204.313
933,204.176
934,181.954
935,183.275
936,195.344
937,180.321
938,185.527
939,177.687
940,196.076
941,171.206
942,187.359
943,197.237
944,177.679
945,190.580
946,182.939
947,185.985
948,181.649
949,185.908
950,192.947
951,170.725
952,177.176
953,214.679
954,179.267
955,184.137
956,188.389
957,180.290
958,182.687
959,197.267
960,195.809
961,188.771
962,191.824
963,181.679
964,176.924
965,180.542
966,192.656
967,186.008
968,180.802
969,187.962
970,185.336
971,182.771
972,181.931
973,176.267
974,178.382
975,187.435
976,172.435
977,170.756
978,171.076
979,185.733
980,198.763
981,177.824
982,184.122
983,194.649
984,183.611
985,175.573
986,206.901
987,187.252
988,179.794
989,191.725
990,176.084
991,178.092
992,186.206
993,191.916
994,192.282
995,177.595
996,180.534
997,211.740
998,185.267
999,189.038
