X,Y
0,192.725
1,180.061
2,166.725
3,173.611
4,174.573
5,182.626
6,167.046
7,168.611
8,179.618
9,184.069
10,171.931
11,176.336
12,179.565
13,164.939
14,190.008
15,185.519
16,172.053
17,167.061
18,186.687
19,170.321
20,184.260
21,168.962
22,172.641
23,161.504
24,169.878
25,180.634
26,168.710
27,167.412
28,166.221
29,179.130
30,177.389
31,188.802
32,168.824
33,176.557
34,176.168
35,179.084
36,173.176
37,190.573
38,199.863
39,174.924
40,181.092
41,184.939
42,182.901
43,171.809
44,174.115
45,166.344
46,174.336
47,195.076
48,174.122
49,165.756
50,165.061
51,186.389
52,167.756
53,167.389
54,181.023
55,179.191
56,161.160
57,170.069
58,187.084
59,156.115
60,167.298
61,173.664
62,161.053
63,167.710
64,179.725
65,185.885
66,168.031
67,186.511
68,166.389
69,179.160
70,177.298
71,186.786
72,181.771
73,183.481
74,167.672
75,178.840
76,179.847
77,165.466
78,181.878
79,171.099
80,171.695
81,164.061
82,177.863
83,174.718
84,184.878
85,189.382
86,177.267
87,165.412
88,158.534
89,179.977
90,181.924
91,180.901
92,169.756
93,175.634
94,177.573
95,171.618
96,177.595
97,173.260
98,174.397
99,177.496
100,176.794
101,175.351
102,169.405
103,189.840
104,172.206
105,165.565
106,161.863
107,177.588
108,179.130
109,175.977
110,177.542
111,183.985
112,167.534
113,181.931
114,183.527
115,178.969
116,173.137
117,164.183
118,182.511
119,177.733
120,178.588
121,174.084
122,194.496
123,173.863
124,170.962
125,185.649
126,173.435
127,174.969
128,175.947
129,172.290
130,182.092
131,168.718
132,179.817
133,185.870
134,175.313
135,173.542
136,175.863
137,165.779
138,167.527
139,174.542
140,177.969
141,174.847
142,186.374
143,190.092
144,178.008
145,172.748
146,171.916
147,166.618
148,170.420
149,184.130
150,178.725
151,175.015
152,174.954
153,170.153
154,185.550
155,176.779
156,175.344
157,175.298
158,169.794
159,172.252
160,170.267
161,161.954
162,172.145
163,169.061
164,192.443
165,179.840
166,172.344
167,183.435
168,185.450
169,178.626
170,164.702
171,164.679
172,181.908
173,183.008
174,183.893
175,177.076
176,171.107
177,171.473
178,164.534
179,169.664
180,163.481
181,174.878
182,170.359
183,170.176
184,176.000
185,168.046
186,171.565
187,180.771
188,162.527
189,184.550
190,174.885
191,177.641
192,176.000
193,155.275
194,179.099
