time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
2.61181, 0.38499, 0.31966, 0.32353, 0.39307, 0.36347, 0.38320, 0.41463, 0.35562, 0.33300, 0.30730, 0.34480, 0.36253, 0.32612, 0.31360, 0.30913, 0.34898, 
2.62373, 0.34112, 0.35734, 0.35255, 0.36024, 0.37187, 0.43023, 0.38122, 0.35669, 0.29040, 0.31711, 0.26085, 0.33028, 0.33084, 0.32845, 0.36071, 0.34466, 
2.63565, 0.37280, 0.34566, 0.30496, 0.35587, 0.39395, 0.42112, 0.40018, 0.28460, 0.32289, 0.32796, 0.37918, 0.33140, 0.38818, 0.30925, 0.27710, 0.34767, 
2.64758, 0.36818, 0.34656, 0.33523, 0.32798, 0.38439, 0.38065, 0.43005, 0.35620, 0.33929, 0.38099, 0.37793, 0.37418, 0.39024, 0.31436, 0.29350, 0.35998, 
2.65950, 0.37970, 0.34004, 0.32030, 0.33220, 0.30208, 0.41377, 0.42919, 0.42347, 0.29989, 0.34642, 0.30148, 0.36420, 0.30558, 0.33852, 0.28119, 0.34520, 
2.67143, 0.36823, 0.35719, 0.30161, 0.34457, 0.37334, 0.40801, 0.39162, 0.33347, 0.26285, 0.33980, 0.29500, 0.26774, 0.39728, 0.36407, 0.29156, 0.33976, 
2.68335, 0.40855, 0.33385, 0.34982, 0.38356, 0.38044, 0.38827, 0.40947, 0.32463, 0.34935, 0.34416, 0.30238, 0.37143, 0.33976, 0.31710, 0.30822, 0.35407, 
2.69527, 0.36975, 0.35784, 0.29887, 0.37237, 0.36659, 0.38985, 0.35243, 0.32387, 0.35597, 0.35808, 0.35036, 0.29941, 0.32874, 0.37193, 0.32593, 0.34813, 
2.70720, 0.43703, 0.30091, 0.30018, 0.36642, 0.36815, 0.40451, 0.40234, 0.29977, 0.27662, 0.31763, 0.30273, 0.31970, 0.45079, 0.39086, 0.32683, 0.35096, 
2.71912, 0.31114, 0.31626, 0.34972, 0.34083, 0.35658, 0.39287, 0.42345, 0.42678, 0.33005, 0.34392, 0.30345, 0.30887, 0.36393, 0.30716, 0.36405, 0.34927, 
2.73105, 0.38914, 0.32661, 0.39413, 0.33473, 0.31587, 0.38342, 0.38205, 0.38811, 0.31798, 0.44941, 0.32684, 0.35034, 0.34651, 0.32184, 0.30455, 0.35544, 
2.74297, 0.37422, 0.36581, 0.38326, 0.32806, 0.36155, 0.40186, 0.43092, 0.37127, 0.32798, 0.37861, 0.36219, 0.33409, 0.33580, 0.38503, 0.35078, 0.36610, 
2.75489, 0.30661, 0.37162, 0.32067, 0.35703, 0.36896, 0.36821, 0.38821, 0.35455, 0.28313, 0.41384, 0.26890, 0.31915, 0.30904, 0.37076, 0.35234, 0.34353, 
2.76682, 0.32512, 0.36300, 0.28906, 0.36958, 0.34692, 0.39110, 0.38534, 0.34911, 0.31832, 0.36976, 0.32048, 0.29778, 0.30465, 0.33789, 0.30400, 0.33814, 
2.77874, 0.40626, 0.32347, 0.31275, 0.34619, 0.33400, 0.36314, 0.43189, 0.38904, 0.34163, 0.41479, 0.27335, 0.27260, 0.31167, 0.35178, 0.30478, 0.34516, 
2.79067, 0.34994, 0.31819, 0.36423, 0.37990, 0.37520, 0.36417, 0.45232, 0.35695, 0.34081, 0.33762, 0.30363, 0.29403, 0.34821, 0.39835, 0.31522, 0.35325, 
2.80259, 0.39265, 0.33463, 0.35410, 0.30516, 0.33307, 0.39287, 0.39506, 0.31311, 0.29506, 0.37080, 0.30497, 0.28335, 0.31428, 0.27404, 0.35008, 0.33422, 
2.81451, 0.38087, 0.31152, 0.31834, 0.35407, 0.31160, 0.44063, 0.36388, 0.43685, 0.34306, 0.39252, 0.25848, 0.27172, 0.34031, 0.35607, 0.33507, 0.34767, 
2.82644, 0.40421, 0.38016, 0.36605, 0.37756, 0.33696, 0.42644, 0.34134, 0.39155, 0.27428, 0.38857, 0.22554, 0.25359, 0.35042, 0.35324, 0.40817, 0.35187, 
2.83836, 0.38363, 0.30646, 0.32650, 0.37401, 0.39783, 0.34364, 0.43179, 0.34239, 0.31763, 0.35439, 0.33446, 0.25690, 0.32842, 0.41301, 0.24196, 0.34353, 
2.85028, 0.42414, 0.27943, 0.38158, 0.31969, 0.31402, 0.35697, 0.33223, 0.36903, 0.25840, 0.35643, 0.33796, 0.30670, 0.34917, 0.30184, 0.36991, 0.33717, 
2.86221, 0.35105, 0.38393, 0.34937, 0.35068, 0.34911, 0.41102, 0.40950, 0.36623, 0.31126, 0.35567, 0.38331, 0.31474, 0.35845, 0.38197, 0.37939, 0.36371, 
2.87413, 0.32377, 0.31134, 0.31673, 0.33578, 0.36273, 0.38930, 0.43716, 0.33865, 0.31039, 0.30197, 0.31379, 0.36832, 0.33151, 0.29201, 0.32157, 0.33700, 
2.88606, 0.35088, 0.31239, 0.31526, 0.36443, 0.31333, 0.43389, 0.41263, 0.43139, 0.27944, 0.34725, 0.37915, 0.32700, 0.40275, 0.38350, 0.28260, 0.35573, 
2.89798, 0.34385, 0.35466, 0.28289, 0.37284, 0.35703, 0.32477, 0.35819, 0.41588, 0.32404, 0.32646, 0.36816, 0.31174, 0.31650, 0.33044, 0.31711, 0.34030, 
2.90990, 0.32483, 0.32473, 0.33247, 0.36108, 0.33598, 0.38040, 0.35194, 0.41490, 0.29879, 0.48800, 0.29444, 0.32804, 0.31499, 0.26339, 0.28698, 0.34006, 
2.92183, 0.40209, 0.33527, 0.31195, 0.33914, 0.37327, 0.39859, 0.40343, 0.33949, 0.35162, 0.35862, 0.31036, 0.31370, 0.32150, 0.29705, 0.32971, 0.34572, 
2.93375, 0.36163, 0.31178, 0.33945, 0.37108, 0.32061, 0.39612, 0.37956, 0.36336, 0.36462, 0.32364, 0.26630, 0.28748, 0.31512, 0.34930, 0.33287, 0.33886, 
2.94568, 0.34812, 0.34721, 0.30343, 0.40105, 0.43312, 0.38371, 0.42935, 0.37997, 0.33719, 0.37211, 0.31910, 0.34237, 0.34307, 0.32584, 0.35043, 0.36107, 
2.95760, 0.37869, 0.29243, 0.34732, 0.35765, 0.35816, 0.41918, 0.39967, 0.32320, 0.36404, 0.33109, 0.28771, 0.28620, 0.31137, 0.29328, 0.35391, 0.34026, 
2.96952, 0.36892, 0.35954, 0.30406, 0.35725, 0.36695, 0.35020, 0.34726, 0.34608, 0.38472, 0.31160, 0.33306, 0.31856, 0.30600, 0.32653, 0.30978, 0.33937, 
2.98145, 0.33849, 0.33292, 0.36599, 0.38607, 0.36062, 0.41571, 0.38151, 0.35519, 0.37482, 0.39114, 0.32154, 0.36158, 0.31229, 0.43123, 0.31502, 0.36294, 
2.99337, 0.36754, 0.33618, 0.29814, 0.37161, 0.32352, 0.32609, 0.38696, 0.35676, 0.34691, 0.36194, 0.29204, 0.30331, 0.30430, 0.35192, 0.33601, 0.33755, 
3.00530, 0.39443, 0.35553, 0.32925, 0.38073, 0.36695, 0.37406, 0.36623, 0.33586, 0.31375, 0.34300, 0.31075, 0.32960, 0.33306, 0.41522, 0.32212, 0.35137, 
3.01722, 0.39907, 0.33175, 0.30881, 0.38306, 0.40906, 0.46902, 0.34282, 0.40765, 0.35465, 0.40569, 0.33964, 0.33409, 0.32843, 0.31648, 0.34166, 0.36479, 
3.02914, 0.39858, 0.32099, 0.39430, 0.35258, 0.42176, 0.41397, 0.41052, 0.38148, 0.35827, 0.38488, 0.41052, 0.27074, 0.34489, 0.29185, 0.32367, 0.36527, 
3.04107, 0.35851, 0.31894, 0.31768, 0.38632, 0.33631, 0.35950, 0.35962, 0.36740, 0.30606, 0.42751, 0.32681, 0.34222, 0.26293, 0.37514, 0.29115, 0.34241, 
3.05299, 0.35596, 0.32888, 0.28898, 0.34595, 0.43389, 0.38867, 0.36847, 0.32951, 0.28095, 0.34105, 0.27942, 0.29620, 0.30345, 0.34843, 0.32294, 0.33418, 
3.06492, 0.33578, 0.33165, 0.30732, 0.35652, 0.38576, 0.42304, 0.39469, 0.37591, 0.32369, 0.36238, 0.37509, 0.30917, 0.30686, 0.38310, 0.41236, 0.35889, 
3.07684, 0.35968, 0.36729, 0.36768, 0.37500, 0.38472, 0.40516, 0.37882, 0.35589, 0.30940, 0.31822, 0.36846, 0.30002, 0.32820, 0.41906, 0.35314, 0.35938, 
3.08876, 0.34886, 0.35049, 0.31110, 0.35785, 0.38606, 0.36308, 0.43195, 0.36373, 0.36361, 0.32342, 0.28398, 0.31280, 0.35467, 0.36050, 0.29718, 0.34728, 
3.10069, 0.31436, 0.34285, 0.33294, 0.33189, 0.37942, 0.39633, 0.38205, 0.39767, 0.30847, 0.35630, 0.33914, 0.31359, 0.26905, 0.34391, 0.31896, 0.34180, 
3.11261, 0.35889, 0.34111, 0.30066, 0.37459, 0.33238, 0.36693, 0.33142, 0.37382, 0.32507, 0.39624, 0.33973, 0.28980, 0.27609, 0.29865, 0.40262, 0.34053, 
3.12453, 0.41872, 0.28901, 0.31855, 0.32360, 0.39807, 0.41616, 0.41377, 0.36143, 0.26638, 0.36122, 0.25984, 0.34440, 0.27153, 0.29319, 0.28677, 0.33484, 
3.13646, 0.34844, 0.30303, 0.37073, 0.34408, 0.35708, 0.40430, 0.38138, 0.36122, 0.35381, 0.40096, 0.33560, 0.31897, 0.31767, 0.30299, 0.33307, 0.34889, 
3.14838, 0.35029, 0.37512, 0.34456, 0.32350, 0.37025, 0.37826, 0.43360, 0.37936, 0.32505, 0.32781, 0.31538, 0.32575, 0.36576, 0.38757, 0.36532, 0.35784, 
3.16031, 0.32891, 0.32633, 0.32255, 0.39700, 0.35627, 0.38522, 0.37016, 0.38290, 0.31584, 0.31468, 0.44767, 0.29718, 0.33510, 0.32080, 0.30694, 0.34717, 
3.17223, 0.37183, 0.40119, 0.37621, 0.34738, 0.32543, 0.42236, 0.41346, 0.33702, 0.41031, 0.35025, 0.30066, 0.30512, 0.33658, 0.35589, 0.43308, 0.36578, 
3.18415, 0.38172, 0.34413, 0.37719, 0.37011, 0.32539, 0.35586, 0.39161, 0.35238, 0.30823, 0.34784, 0.26559, 0.31640, 0.31683, 0.39222, 0.36638, 0.34746, 
3.19608, 0.30021, 0.28360, 0.38854, 0.33288, 0.35772, 0.39451, 0.42567, 0.39487, 0.36600, 0.41800, 0.40112, 0.37831, 0.28128, 0.29203, 0.33933, 0.35694, 
3.20800, 0.37435, 0.36810, 0.36044, 0.29798, 0.36815, 0.36992, 0.38597, 0.37102, 0.36161, 0.35380, 0.34132, 0.27817, 0.30636, 0.25761, 0.29300, 0.33919, 
3.21993, 0.41077, 0.30043, 0.35651, 0.41791, 0.33865, 0.44600, 0.34905, 0.35248, 0.33750, 0.37204, 0.31936, 0.29174, 0.28043, 0.31519, 0.36900, 0.35047, 
3.23185, 0.42133, 0.30929, 0.31670, 0.38407, 0.33413, 0.39226, 0.37930, 0.40488, 0.34196, 0.31511, 0.31734, 0.33489, 0.31893, 0.32378, 0.32285, 0.34779, 
3.24377, 0.38691, 0.36834, 0.30609, 0.36698, 0.39478, 0.40185, 0.40851, 0.35851, 0.34842, 0.37173, 0.33174, 0.28583, 0.32365, 0.33492, 0.34197, 0.35535, 
3.25570, 0.40875, 0.33280, 0.34154, 0.37988, 0.34912, 0.41542, 0.41723, 0.34198, 0.30662, 0.38642, 0.37037, 0.34942, 0.32834, 0.35152, 0.31171, 0.35941, 
3.26762, 0.37764, 0.31347, 0.34445, 0.38537, 0.31618, 0.46358, 0.35793, 0.37198, 0.35753, 0.31051, 0.30898, 0.29951, 0.34857, 0.34919, 0.30573, 0.34737, 
3.27955, 0.31411, 0.35431, 0.34347, 0.40066, 0.36379, 0.41381, 0.37870, 0.37370, 0.30546, 0.31713, 0.31526, 0.28962, 0.29603, 0.30336, 0.39237, 0.34412, 
3.29147, 0.35828, 0.33115, 0.34791, 0.39214, 0.36382, 0.41216, 0.41151, 0.35273, 0.34820, 0.35249, 0.47629, 0.29433, 0.32921, 0.33995, 0.34412, 0.36362, 
3.30339, 0.32298, 0.30583, 0.29782, 0.33884, 0.35909, 0.39751, 0.40606, 0.37512, 0.32358, 0.34944, 0.31681, 0.26737, 0.30441, 0.40687, 0.30688, 0.33857, 
3.31532, 0.29795, 0.32364, 0.30918, 0.36590, 0.33166, 0.33410, 0.38402, 0.41285, 0.33181, 0.34260, 0.30934, 0.27849, 0.30992, 0.33039, 0.35948, 0.33476, 
3.32724, 0.43425, 0.34038, 0.30544, 0.38399, 0.37805, 0.39985, 0.34958, 0.32620, 0.34295, 0.31712, 0.32916, 0.31126, 0.32108, 0.31493, 0.32295, 0.34515, 
3.33916, 0.39555, 0.31326, 0.34234, 0.32316, 0.41303, 0.35209, 0.34718, 0.37539, 0.40980, 0.42753, 0.28791, 0.31456, 0.34726, 0.29433, 0.39258, 0.35573, 
3.35109, 0.40208, 0.32171, 0.35425, 0.36670, 0.37241, 0.39960, 0.35249, 0.41964, 0.40334, 0.40058, 0.34786, 0.27108, 0.33624, 0.35276, 0.30530, 0.36040, 
3.36301, 0.37615, 0.35747, 0.41092, 0.32941, 0.34396, 0.38599, 0.37232, 0.39147, 0.30161, 0.36828, 0.27020, 0.36157, 0.34496, 0.30192, 0.32333, 0.34930, 
3.37494, 0.35305, 0.34265, 0.32696, 0.38589, 0.35035, 0.38435, 0.37658, 0.41310, 0.31495, 0.36239, 0.31086, 0.31158, 0.27635, 0.33217, 0.40864, 0.34999, 
3.38686, 0.35722, 0.32799, 0.31298, 0.34103, 0.31535, 0.37653, 0.33426, 0.39570, 0.34834, 0.41104, 0.39748, 0.31793, 0.30742, 0.30693, 0.31084, 0.34407, 
3.39878, 0.39462, 0.35949, 0.29176, 0.37982, 0.38176, 0.39114, 0.39261, 0.42240, 0.29932, 0.34407, 0.26117, 0.30947, 0.38427, 0.41336, 0.34515, 0.35803, 
3.41071, 0.35134, 0.32634, 0.34104, 0.37321, 0.37351, 0.39598, 0.39693, 0.37915, 0.32575, 0.39789, 0.35318, 0.31603, 0.30176, 0.33419, 0.41929, 0.35904, 
3.42263, 0.38902, 0.29067, 0.33138, 0.39015, 0.34950, 0.35562, 0.36071, 0.40628, 0.28879, 0.38402, 0.30820, 0.27728, 0.38885, 0.28900, 0.30811, 0.34117, 
3.43456, 0.33122, 0.30376, 0.34197, 0.34961, 0.41070, 0.41642, 0.38087, 0.34397, 0.34579, 0.40355, 0.29384, 0.34818, 0.33851, 0.28781, 0.34787, 0.34960, 
3.44648, 0.36505, 0.32324, 0.37922, 0.37204, 0.35894, 0.46535, 0.39744, 0.36038, 0.32492, 0.37308, 0.38482, 0.30970, 0.35270, 0.31918, 0.33602, 0.36147, 
3.45840, 0.40251, 0.36647, 0.35829, 0.43547, 0.35341, 0.38880, 0.41469, 0.40061, 0.39154, 0.34984, 0.30986, 0.36368, 0.27023, 0.32708, 0.29768, 0.36201, 
3.47033, 0.38730, 0.37379, 0.33437, 0.37344, 0.36593, 0.40860, 0.38962, 0.39812, 0.32019, 0.35264, 0.34067, 0.33308, 0.29048, 0.31586, 0.28871, 0.35152, 
3.48225, 0.42277, 0.29433, 0.35650, 0.36402, 0.28186, 0.35223, 0.36135, 0.34389, 0.32628, 0.40233, 0.30298, 0.29011, 0.30681, 0.32966, 0.32549, 0.33737, 
3.49418, 0.37203, 0.30099, 0.34740, 0.41816, 0.34333, 0.38758, 0.43725, 0.39425, 0.41532, 0.39802, 0.42597, 0.33926, 0.33559, 0.37404, 0.31089, 0.37334, 
3.50610, 0.35030, 0.33253, 0.34205, 0.35660, 0.34802, 0.43442, 0.36095, 0.45048, 0.31758, 0.43099, 0.31459, 0.32506, 0.34055, 0.33340, 0.32069, 0.35721, 
3.51802, 0.36868, 0.39670, 0.35459, 0.36748, 0.37019, 0.36290, 0.40408, 0.34328, 0.32684, 0.39367, 0.34307, 0.31128, 0.35933, 0.35820, 0.34424, 0.36030, 
3.52995, 0.37160, 0.31831, 0.31966, 0.42248, 0.29591, 0.36713, 0.37823, 0.29851, 0.31961, 0.34841, 0.33377, 0.33248, 0.27343, 0.34544, 0.37654, 0.34010, 
3.54187, 0.38211, 0.33312, 0.33605, 0.35110, 0.35881, 0.39203, 0.37282, 0.31096, 0.36081, 0.31810, 0.31587, 0.32171, 0.34532, 0.32077, 0.32564, 0.34301, 
3.55379, 0.38030, 0.31883, 0.33554, 0.31764, 0.38689, 0.41846, 0.36481, 0.36577, 0.26260, 0.34346, 0.33136, 0.28081, 0.29905, 0.32953, 0.36512, 0.34001, 
3.56572, 0.32690, 0.36111, 0.35596, 0.39813, 0.32555, 0.45106, 0.35790, 0.35608, 0.31645, 0.33001, 0.29924, 0.32752, 0.27500, 0.33244, 0.28970, 0.34020, 
3.57764, 0.37355, 0.31534, 0.33863, 0.38783, 0.36618, 0.39362, 0.41844, 0.35294, 0.31613, 0.37444, 0.28862, 0.32639, 0.39067, 0.36342, 0.41475, 0.36140, 
3.58957, 0.35651, 0.30607, 0.31707, 0.36036, 0.40157, 0.38617, 0.35190, 0.33399, 0.37074, 0.34535, 0.34291, 0.32248, 0.34827, 0.31564, 0.32566, 0.34565, 
3.60149, 0.35157, 0.32823, 0.35845, 0.34586, 0.38558, 0.36652, 0.34710, 0.43113, 0.33528, 0.29855, 0.34191, 0.28393, 0.26747, 0.34271, 0.33554, 0.34132, 
3.61341, 0.38939, 0.33451, 0.33174, 0.36392, 0.36037, 0.41397, 0.44886, 0.33421, 0.30686, 0.35111, 0.30353, 0.27143, 0.33189, 0.32236, 0.32793, 0.34614, 
3.62534, 0.39270, 0.30367, 0.35777, 0.37951, 0.37572, 0.37046, 0.36951, 0.32859, 0.32858, 0.38724, 0.38027, 0.33908, 0.33071, 0.33533, 0.27181, 0.35006, 
3.63726, 0.33729, 0.37410, 0.32357, 0.33706, 0.35248, 0.39668, 0.42997, 0.34668, 0.33484, 0.37035, 0.31303, 0.29273, 0.28633, 0.33869, 0.35718, 0.34607, 
3.64919, 0.42925, 0.30207, 0.31962, 0.32587, 0.39608, 0.37410, 0.39652, 0.39589, 0.28771, 0.25228, 0.32374, 0.35523, 0.41101, 0.36223, 0.31792, 0.34997, 
3.66111, 0.37544, 0.33224, 0.32687, 0.33826, 0.35804, 0.36623, 0.33181, 0.33385, 0.31419, 0.35149, 0.33561, 0.32835, 0.27477, 0.37391, 0.36732, 0.34056, 
3.67303, 0.38619, 0.31843, 0.36332, 0.34214, 0.33529, 0.41214, 0.41134, 0.35513, 0.39617, 0.34732, 0.33184, 0.32302, 0.34525, 0.40470, 0.39697, 0.36462, 
3.68496, 0.33720, 0.30678, 0.30818, 0.35206, 0.37452, 0.43657, 0.39956, 0.36349, 0.41300, 0.38653, 0.30545, 0.34435, 0.32661, 0.32579, 0.42039, 0.36003, 
3.69688, 0.38424, 0.33900, 0.33302, 0.30826, 0.31801, 0.37467, 0.42091, 0.36143, 0.38238, 0.41856, 0.31791, 0.36335, 0.32190, 0.32692, 0.30464, 0.35168, 
3.70881, 0.33754, 0.32996, 0.35213, 0.33284, 0.34639, 0.40429, 0.44295, 0.40082, 0.28385, 0.37104, 0.32169, 0.32329, 0.35323, 0.30759, 0.32896, 0.34910, 
3.72073, 0.34162, 0.31190, 0.30043, 0.35758, 0.40348, 0.37844, 0.35986, 0.40020, 0.29527, 0.44478, 0.25147, 0.29994, 0.35053, 0.29885, 0.41978, 0.34761, 
3.73265, 0.34457, 0.31941, 0.36823, 0.37809, 0.33472, 0.43608, 0.41528, 0.34021, 0.33793, 0.37860, 0.32490, 0.30696, 0.37734, 0.37715, 0.33105, 0.35803, 
3.74458, 0.35031, 0.33326, 0.34966, 0.39273, 0.36263, 0.36560, 0.36923, 0.37496, 0.30872, 0.34543, 0.37770, 0.29004, 0.31701, 0.30266, 0.38640, 0.34842, 
3.75650, 0.38159, 0.30289, 0.34618, 0.34578, 0.36637, 0.42814, 0.38750, 0.32944, 0.31730, 0.33415, 0.34993, 0.34358, 0.31113, 0.33564, 0.38387, 0.35090, 
3.76843, 0.37713, 0.33826, 0.34060, 0.36607, 0.33077, 0.40108, 0.38817, 0.37875, 0.35032, 0.39454, 0.34707, 0.35082, 0.30542, 0.34977, 0.29120, 0.35400, 
3.78035, 0.45544, 0.35127, 0.33267, 0.37771, 0.35944, 0.41518, 0.42817, 0.33368, 0.34067, 0.32425, 0.32187, 0.30180, 0.34435, 0.37219, 0.33214, 0.35939, 
3.79227, 0.36322, 0.27373, 0.34257, 0.43168, 0.36055, 0.44068, 0.41540, 0.39971, 0.31450, 0.36531, 0.25690, 0.34527, 0.32511, 0.31065, 0.35201, 0.35315, 
3.80420, 0.38132, 0.32620, 0.33625, 0.38484, 0.39349, 0.34973, 0.40140, 0.35380, 0.37429, 0.39427, 0.30312, 0.36776, 0.28458, 0.35985, 0.35666, 0.35784, 
3.81612, 0.33470, 0.29725, 0.31131, 0.34347, 0.35463, 0.41761, 0.30479, 0.31895, 0.40845, 0.38383, 0.35111, 0.32201, 0.31672, 0.33753, 0.38442, 0.34579, 
3.82804, 0.33935, 0.29530, 0.35567, 0.36957, 0.37593, 0.42445, 0.35813, 0.35577, 0.30476, 0.29966, 0.29826, 0.32273, 0.32568, 0.34384, 0.37694, 0.34307, 
3.83997, 0.32219, 0.36163, 0.35050, 0.37994, 0.38374, 0.34340, 0.39375, 0.43043, 0.34619, 0.33648, 0.37603, 0.33711, 0.28324, 0.35555, 0.33203, 0.35548, 
3.85189, 0.32390, 0.33062, 0.32165, 0.39168, 0.41230, 0.37689, 0.44069, 0.38641, 0.35154, 0.38428, 0.30949, 0.31751, 0.34683, 0.37960, 0.31768, 0.35940, 
3.86382, 0.33211, 0.30690, 0.36852, 0.31733, 0.39575, 0.36022, 0.42529, 0.38434, 0.37423, 0.32893, 0.30351, 0.32414, 0.25974, 0.32107, 0.31253, 0.34097, 
3.87574, 0.33850, 0.37428, 0.35003, 0.36837, 0.36920, 0.38778, 0.35250, 0.37238, 0.33545, 0.30976, 0.29843, 0.31617, 0.34022, 0.36752, 0.30192, 0.34550, 
3.88766, 0.34484, 0.30655, 0.33799, 0.35806, 0.30243, 0.45841, 0.42115, 0.37541, 0.29466, 0.34672, 0.35403, 0.27491, 0.36316, 0.36097, 0.33151, 0.34872, 
3.89959, 0.39163, 0.37375, 0.34899, 0.45935, 0.34123, 0.42252, 0.40433, 0.40717, 0.32555, 0.35448, 0.33283, 0.26987, 0.37688, 0.36720, 0.32953, 0.36702, 
3.91151, 0.33073, 0.35153, 0.30204, 0.37305, 0.35500, 0.38764, 0.39926, 0.38179, 0.31480, 0.32936, 0.34547, 0.33736, 0.34064, 0.30244, 0.30148, 0.34351, 
3.92344, 0.36388, 0.33204, 0.37253, 0.31897, 0.33895, 0.37070, 0.33098, 0.29017, 0.36951, 0.40914, 0.26300, 0.27549, 0.38671, 0.29012, 0.38359, 0.33972, 
3.93536, 0.35636, 0.30218, 0.34985, 0.34729, 0.32437, 0.37077, 0.44624, 0.31568, 0.33988, 0.40972, 0.33217, 0.34505, 0.27420, 0.37586, 0.31139, 0.34673, 
3.94728, 0.35183, 0.31287, 0.32309, 0.38822, 0.34755, 0.36811, 0.36554, 0.33263, 0.36755, 0.34299, 0.33012, 0.28974, 0.27937, 0.33593, 0.41199, 0.34317, 
3.95921, 0.40402, 0.35169, 0.30088, 0.32980, 0.40380, 0.39633, 0.38543, 0.45935, 0.34279, 0.37684, 0.34153, 0.33965, 0.31183, 0.30772, 0.36042, 0.36081, 
3.97113, 0.44612, 0.33722, 0.34770, 0.36515, 0.38852, 0.39950, 0.41945, 0.37072, 0.40775, 0.27782, 0.32599, 0.24965, 0.32391, 0.39523, 0.29539, 0.35667, 
3.98306, 0.41200, 0.33188, 0.32056, 0.37559, 0.34288, 0.36853, 0.45354, 0.35094, 0.34133, 0.31731, 0.31518, 0.38247, 0.33673, 0.31047, 0.31610, 0.35170, 
3.99498, 0.34341, 0.40277, 0.33677, 0.39471, 0.41245, 0.36668, 0.34444, 0.36586, 0.36900, 0.39166, 0.32586, 0.29890, 0.31211, 0.33441, 0.37731, 0.35842, 
4.00690, 0.35992, 0.34459, 0.34884, 0.36180, 0.32331, 0.38985, 0.36193, 0.43162, 0.29511, 0.39501, 0.30936, 0.32781, 0.30157, 0.28082, 0.30482, 0.34242, 
4.01883, 0.42224, 0.33654, 0.34310, 0.35557, 0.31003, 0.38353, 0.41710, 0.36976, 0.36636, 0.41061, 0.33814, 0.29193, 0.38529, 0.31705, 0.35648, 0.36025, 
4.03075, 0.39594, 0.33696, 0.36735, 0.35241, 0.34138, 0.43265, 0.34286, 0.32295, 0.30906, 0.37607, 0.35751, 0.34265, 0.28901, 0.34239, 0.29862, 0.34719, 
4.04267, 0.37369, 0.29124, 0.29421, 0.33225, 0.41109, 0.36579, 0.40712, 0.35677, 0.31852, 0.33592, 0.31126, 0.29650, 0.32796, 0.36572, 0.33831, 0.34176, 
