time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
2.46872, 0.40551, 0.33548, 0.36507, 0.31648, 0.36484, 0.37735, 0.43399, 0.37024, 0.34807, 0.32425, 0.39217, 0.32375, 0.31595, 0.34814, 0.34787, 0.35794, 
2.48064, 0.37652, 0.30591, 0.34186, 0.34213, 0.33796, 0.38814, 0.38622, 0.36447, 0.33230, 0.37458, 0.30909, 0.34825, 0.54546, 0.36471, 0.32352, 0.36274, 
2.49257, 0.37112, 0.32182, 0.33269, 0.38018, 0.35390, 0.43234, 0.37356, 0.37778, 0.34194, 0.34826, 0.30185, 0.36382, 0.31845, 0.34383, 0.34273, 0.35362, 
2.50449, 0.39369, 0.32382, 0.31990, 0.37712, 0.38162, 0.37470, 0.36091, 0.37594, 0.30748, 0.36051, 0.29551, 0.33700, 0.30964, 0.33732, 0.27818, 0.34222, 
2.51642, 0.33639, 0.33748, 0.29632, 0.39550, 0.34640, 0.41510, 0.33307, 0.43254, 0.32257, 0.30637, 0.32648, 0.33004, 0.36014, 0.35631, 0.34594, 0.34938, 
2.52834, 0.34721, 0.32877, 0.32359, 0.37894, 0.32365, 0.37763, 0.43984, 0.32979, 0.33828, 0.36712, 0.34871, 0.33272, 0.28761, 0.34049, 0.34116, 0.34704, 
2.54026, 0.37150, 0.34329, 0.31054, 0.37254, 0.36674, 0.44489, 0.42280, 0.36762, 0.29860, 0.34071, 0.32617, 0.30246, 0.35605, 0.30624, 0.30536, 0.34903, 
2.55219, 0.39563, 0.33189, 0.36791, 0.36870, 0.34754, 0.42700, 0.30537, 0.36331, 0.32737, 0.33955, 0.27630, 0.28414, 0.30667, 0.32873, 0.30105, 0.33808, 
2.56411, 0.32234, 0.37344, 0.34713, 0.35337, 0.34597, 0.38804, 0.34056, 0.43943, 0.29880, 0.37096, 0.31752, 0.29444, 0.32884, 0.36641, 0.29612, 0.34556, 
2.57604, 0.38054, 0.25609, 0.33035, 0.34416, 0.40423, 0.42300, 0.37141, 0.36054, 0.31912, 0.42199, 0.31834, 0.27147, 0.31854, 0.34571, 0.33577, 0.34675, 
2.58796, 0.38944, 0.35622, 0.36788, 0.36148, 0.36436, 0.41883, 0.41297, 0.37670, 0.33653, 0.41845, 0.26132, 0.29046, 0.30150, 0.32782, 0.28106, 0.35100, 
2.59988, 0.35623, 0.37234, 0.36156, 0.40188, 0.36460, 0.35281, 0.37107, 0.32988, 0.32739, 0.36466, 0.35383, 0.32691, 0.26967, 0.34297, 0.33542, 0.34875, 
