time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
2.82644, 0.42440, 0.41013, 0.37480, 0.39991, 0.34661, 0.36361, 0.38410, 0.29532, 0.36317, 0.27189, 0.32341, 0.31407, 0.36650, 0.38737, 0.34409, 0.35796, 
2.83836, 0.38775, 0.40913, 0.36150, 0.36929, 0.37479, 0.41255, 0.35783, 0.39815, 0.32927, 0.39214, 0.35935, 0.33421, 0.38689, 0.29788, 0.34796, 0.36791, 
2.85028, 0.37660, 0.36371, 0.37443, 0.40717, 0.45886, 0.40155, 0.33417, 0.33629, 0.38941, 0.37151, 0.34127, 0.34811, 0.36353, 0.32883, 0.32008, 0.36770, 
2.86221, 0.43253, 0.50327, 0.42813, 0.43357, 0.35290, 0.44061, 0.42051, 0.30186, 0.33452, 0.36412, 0.34154, 0.34621, 0.41346, 0.31120, 0.36485, 0.38595, 
2.87413, 0.43101, 0.43470, 0.40980, 0.39144, 0.35858, 0.41396, 0.39862, 0.29684, 0.37724, 0.36352, 0.30899, 0.37294, 0.36762, 0.34722, 0.33646, 0.37393, 
2.88606, 0.33442, 0.42910, 0.37040, 0.36828, 0.44103, 0.40720, 0.41485, 0.37978, 0.34618, 0.39854, 0.38724, 0.49029, 0.32884, 0.33650, 0.33618, 0.38459, 
2.89798, 0.42559, 0.42192, 0.36353, 0.37221, 0.43717, 0.38911, 0.41550, 0.32832, 0.38118, 0.39289, 0.34031, 0.39998, 0.39183, 0.31199, 0.41391, 0.38570, 
2.90990, 0.40695, 0.38181, 0.38180, 0.38641, 0.42013, 0.41736, 0.37252, 0.34643, 0.36458, 0.40245, 0.30445, 0.39045, 0.44857, 0.30559, 0.31218, 0.37611, 
2.92183, 0.41977, 0.42802, 0.34291, 0.32936, 0.40307, 0.36300, 0.38078, 0.36410, 0.32839, 0.34838, 0.36175, 0.28733, 0.40898, 0.37949, 0.36711, 0.36749, 
2.93375, 0.35249, 0.41852, 0.38577, 0.35577, 0.37888, 0.39898, 0.39603, 0.35002, 0.36451, 0.41439, 0.34690, 0.36401, 0.33397, 0.38052, 0.37581, 0.37444, 
2.94568, 0.42596, 0.42289, 0.35473, 0.38010, 0.38196, 0.39135, 0.38253, 0.30541, 0.36586, 0.36651, 0.29894, 0.44265, 0.39871, 0.29444, 0.40849, 0.37470, 
2.95760, 0.35644, 0.39031, 0.42633, 0.36854, 0.34471, 0.40289, 0.34977, 0.29402, 0.33477, 0.36775, 0.34692, 0.33830, 0.38698, 0.32958, 0.32354, 0.35739, 
2.96952, 0.41907, 0.39541, 0.42881, 0.35930, 0.42215, 0.37797, 0.27155, 0.41585, 0.36359, 0.35323, 0.33357, 0.37290, 0.39282, 0.33785, 0.33795, 0.37214, 
